Word,Polarity,Intensity,SubjectivityType,SubjectivityPolarity
가장;일관,POS,High,Judgment,POS
가장;전문가,POS,Medium,Judgment,POS
가장;좋,POS,High,Emotion,POS
가장;친근하,POS,Medium,Argument,POS
가장;크,NEG,Medium,Judgment,NEUT
가장;큰,NEG,Medium,Judgment,POS
가;장하,NEG,High,Judgment,NEG
가장;한,NEG,High,Judgment,NEG
가장;흉내,POS,High,Judgment,POS
가장;흉내내,POS,High,Judgment,POS
가족;들,POS,Medium,Judgment,POS
가족;은,POS,High,Intention,POS
가족;이,NEUT,Medium,Judgment,POS
가족;하고,NEG,Medium,Argument,POS
가증;스럽,NEG,Medium,Judgment,NEG
가지;가,NEG,Low,Argument,POS
가지;단점,NEG,High,Judgment,NEG
가지;문제,NEG,Medium,Judgment,NEG
가지;고,NEUT,Low,Argument,POS
가지;고오,NEUT,Low,Argument,POS
가진;사람,POS,Low,Argument,POS
가진;재주,NEG,High,Judgment,NEG
가진;제품,POS,Medium,Argument,POS
가지어;다,NEG,Medium,Argument,POS
가책;이,NEG,Medium,Argument,POS
가책;이나,NEG,Medium,Argument,POS
가;출하,NEG,High,Judgment,NEG
가치;가,POS,Medium,Judgment,POS
가치;는,NEUT,Low,Argument,POS
가치;를,POS,Medium,Judgment,POS
가치;체계,POS,Medium,Judgment,POS
가타;부타,NEUT,Low,Argument,NEUT
가파르;고,NEG,Medium,Argument,POS
각국;의,POS,Low,Argument,POS
각별;하,POS,High,Emotion,POS
각별;함,POS,Medium,Judgment,POS
각;성하,POS,Medium,Judgment,POS
각양각색;이,POS,Medium,Judgment,POS
각종;범죄,NEG,High,Judgment,NEG
간;상속,NEG,Medium,Argument,POS
간곡;하,POS,Medium,Judgment,POS
간밤;의,POS,Medium,Argument,POS
간신히;매달리,NEG,Medium,Argument,POS
간신히;매달리어,NEG,Medium,Argument,POS
간첩;등,NEG,Medium,Judgment,NEG
갇히어;있,NEG,Medium,Argument,POS
갈;구,POS,Medium,Intention,POS
갈수록;모자라,NEG,Medium,Judgment,NEG
갈피;를,NEG,Medium,Judgment,NEG
갈피;마다,POS,Medium,Judgment,POS
감;이,NEUT,Medium,Emotion,POS
감각;적,NEG,Low,Judgment,NEG
감;내,NEG,High,Judgment,NEG
감독;과,POS,Low,Argument,POS
감독;을,NEG,Medium,Argument,POS
감독;의,NEG,Low,Argument,POS
감독;이,NEUT,Low,Argument,POS
감동;깊,POS,Medium,Judgment,POS
감동;으로,POS,Medium,Emotion,POS
감사합;니다,POS,High,Emotion,POS
감칠맛;나,POS,Medium,Judgment,POS
감탄사;를,POS,Medium,Emotion,POS
갑자기;돌아오,NEUT,Low,Argument,POS
갑자기;돌아오았,NEUT,Low,Argument,POS
갑자기;호흡,NEUT,Medium,Argument,POS
갑작스레꿈;에서,NEUT,Medium,Argument,NEUT
값등;을,POS,Medium,Judgment,POS
값;으로,NEG,Medium,Argument,POS
강;군,POS,Medium,Judgment,POS
강단;교류,POS,Low,Judgment,POS
강도;높,NEG,High,Argument,POS
강도;높게,NEG,High,Argument,POS
강도;있,POS,Medium,Judgment,POS
강물;위,NEG,Medium,Argument,POS
강박;에,NEG,High,Emotion,NEG
강;요하,NEG,Medium,Judgment,NEG
강의;하,NEG,Medium,Argument,POS
강의한;다,NEG,Medium,Argument,POS
강점;으로,POS,Medium,Others,POS
강;제하,POS,Medium,Intention,POS
강화;되,POS,Medium,Judgment,POS
강화;하,POS,Medium,Judgment,POS
강화;책,POS,Medium,Judgment,POS
갖게;되,POS,Medium,Argument,POS
갖가지;사회,NEG,Medium,Judgment,NEG
같은;모호,NEUT,Medium,Judgment,NEUT
같은;연극,POS,Medium,Judgment,POS
같은;영화,POS,Medium,Judgment,POS
같은;인상,NEG,Medium,Judgment,NEG
같은;입시,NEG,Medium,Judgment,NEG
같이;붓,NEG,Low,Argument,POS
같이;비판,NEG,High,Judgment,NEG
갚는;것,POS,High,Judgment,POS
개념;만,POS,Medium,Argument,POS
개방;정책,NEG,Medium,Argument,POS
개;선하,POS,Medium,Argument,POS
개선;하아,POS,Medium,Argument,POS
개성;어리,POS,Medium,Judgment,POS
개성;있,POS,Medium,Judgment,POS
개인;적,POS,Low,Judgment,POS
개조;과제,NEG,Medium,Judgment,NEG
개척;에,POS,Medium,Argument,POS
개혁;등,POS,Medium,Judgment,POS
개혁;을,NEG,Medium,Judgment,NEG
객관;적,NEG,Medium,Judgment,NEG
객관;화,POS,Medium,Argument,POS
거;같,NEG,Medium,Speculation,POS
거;이,NEG,Medium,Judgment,NEG
거;이다,NEG,Medium,Judgment,NEG
거나;가족,NEG,Medium,Argument,POS
거나;목소리,POS,Medium,Judgment,POS
거나;의식,NEUT,Medium,Argument,POS
거나;인터뷰,NEG,High,Judgment,NEG
거나;자,NEUT,Medium,Argument,POS
거나;포기,NEG,Medium,Judgment,NEG
거;느리,NEG,Medium,Judgment,NEG
거;느린,NEG,Medium,Judgment,NEG
거듭;말,NONE,None,Argument,POS
거듭;나,POS,Medium,Judgment,POS
거리;를,NEG,Low,Argument,POS
거리;낌,POS,Medium,Emotion,POS
거;부하,NEG,High,Agreement,NEG
거세공포;로부터,NEG,Medium,Argument,POS
거울;이,POS,Medium,Argument,POS
거울;이며,POS,Medium,Argument,POS
거의;거치,NEG,Medium,Judgment,NEG
거의;반영,NEG,High,Judgment,NEG
거의;없,POS,Medium,Judgment,POS
거의;이루,NONE,Medium,Judgment,NEG
거의;이루어,NONE,Medium,Judgment,NEG
거짓;없이,POS,Medium,Judgment,POS
거치어;오,POS,High,Judgment,POS
거치;지,NEG,Medium,Judgment,NEG
거푸집;속,POS,Medium,Judgment,POS
거품;도,POS,Medium,Judgment,POS
건;이상,NEG,Medium,Judgment,NEG
건강;을,POS,Medium,Judgment,POS
건강;이,POS,Medium,Argument,POS
건드리;지,NEG,Medium,Argument,POS
건드리;지도,NEG,Medium,Argument,POS
건물;형식,NEG,High,Argument,POS
건;수가,NEG,High,Argument,POS
건실;하,POS,Medium,Judgment,POS
건의;하,POS,Medium,Argument,POS
건축;도,POS,Medium,Argument,POS
건축;양식,POS,Medium,Judgment,POS
건축;창작,NEUT,Medium,Argument,POS
건축물;을,NEG,High,Argument,POS
걷는;것,NEG,Medium,Judgment,NEG
걷어;내,NEG,Medium,Judgment,NEG
걸어;주,POS,Medium,Judgment,POS
걸림;돌,NEG,Medium,Judgment,NEG
걸;맞,POS,Medium,Judgment,POS
걸;맞게,POS,Medium,Judgment,POS
검사;등,NEG,Medium,Argument,POS
검사;로,NEG,Medium,Argument,POS
검토;하,POS,Low,Judgment,POS
겁;없이,NEUT,Medium,Judgment,NEUT
것;같,NONE,Medium,Judgment,POS
것;같다,NEUT,Medium,Argument,POS
것;같은,NEG,Medium,Judgment,NEG
것;과,NEUT,Low,Judgment,NEUT
것;도,NEG,Medium,Argument,POS
것;들,POS,Medium,Argument,POS
것;때문,NEG,Medium,Argument,POS
것;로,NEUT,Medium,Speculation,POS
것;만,POS,High,Emotion,POS
것;만도,POS,Medium,Judgment,POS
것;만으로,POS,High,Emotion,POS
것;보다,POS,Medium,Argument,POS
것;아니,NONE,None,Others,POS
것;으로,POS,Medium,Argument,POS
것;은,NEUT,Medium,Argument,POS
것;을,NEG,Medium,Argument,POS
것;이,NONE,None,Others,POS
것;이안,POS,High,Judgment,POS
것;이이,NEUT,Low,Argument,POS
것;이고,NONE,None,Others,POS
것;인가,NONE,None,Others,POS
것;인지,NEUT,Medium,Argument,POS
것;이다,NONE,None,Others,POS
것;이라고,NEG,Low,Argument,POS
것;이라는,NONE,None,Others,POS
것;처럼,NEUT,Low,Judgment,POS
게;미치,NEG,Medium,Argument,POS
게;미치었,NEG,Medium,Argument,POS
게;갇히,NEG,Medium,Argument,POS
게;갇히어,NEG,Medium,Argument,POS
게;결심,NEG,Medium,Argument,POS
게;경고,NEG,High,Argument,POS
게경;고하,NEG,High,Argument,POS
게;구분,NEUT,Medium,Judgment,NEUT
게;구분되,NEUT,Medium,Judgment,NEUT
게;굳,POS,Low,Judgment,POS
게;그리,NEUT,High,Emotion,POS
게;그리니,NEG,High,Argument,POS
게;기회,POS,Medium,Argument,POS
게;깎,NEG,Low,Argument,POS
게;깎았,NEG,Low,Argument,POS
게;느끼,NEG,Medium,Emotion,NEG
게;느끼어,NEG,Medium,Emotion,NEG
게다;가오,POS,Medium,Judgment,POS
게;다르,NEUT,Medium,Judgment,NEUT
게다;지,POS,Low,Judgment,POS
게다;지어,POS,Low,Judgment,POS
게;되,POS,Medium,Judgment,POS
게;된,POS,Medium,Argument,POS
게;되었,POS,Medium,Argument,POS
게;되살리,POS,Medium,Judgment,POS
게;들리,NEG,Medium,Judgment,NEG
게;따지,POS,Medium,Judgment,POS
게;뜨겁,NEUT,Medium,Judgment,POS
게;마련,NEUT,Medium,Speculation,POS
게;만들,NEG,Medium,Judgment,NEG
게;무섭,NEG,Medium,Argument,POS
게;발흥,POS,Medium,Judgment,POS
게;버티,NEG,Medium,Argument,POS
게;버틴,NEG,Medium,Argument,POS
게;부족,NEG,Medium,Argument,POS
게;부족하,NEG,Medium,Argument,POS
게;붙,NEUT,Medium,Intention,POS
게;사용,POS,Medium,Judgment,POS
게;사용되,POS,Medium,Judgment,POS
게살;아,POS,Medium,Judgment,POS
게;생각,POS,Medium,Judgment,POS
게생;각하,POS,Medium,Judgment,POS
게;성취,POS,High,Judgment,POS
게;승진,NEG,Medium,Judgment,NEG
게승;진하,NEG,Medium,Judgment,NEG
게;시작,POS,Medium,Argument,POS
게;쓰,NEUT,Medium,Judgment,NEUT
게;쓰는,NEG,Medium,Judgment,NEG
게;아름답,POS,High,Judgment,POS
게;여기,NEUT,High,Emotion,NEUT
게;옥살이,POS,Medium,Intention,POS
게;위협,NEG,High,Judgment,NEG
게;의식,NEG,Medium,Judgment,NEG
게;의지,POS,Medium,Agreement,POS
게이;든,POS,High,Judgment,POS
게;이기,NEG,High,Judgment,NEG
게이;기적,NEG,High,Judgment,NEG
게;이루,POS,Medium,Judgment,POS
게;이루어,POS,Medium,Judgment,POS
게;인기,POS,High,Judgment,POS
게;조명,POS,Low,Judgment,POS
게;조명하,POS,Low,Judgment,POS
게;좋,POS,High,Judgment,POS
게;주례,POS,Medium,Argument,POS
게;준수,POS,Medium,Judgment,POS
게;찢어지,NEG,Medium,Judgment,NEG
게;참여,POS,Medium,Judgment,POS
게;철학,POS,Medium,Argument,POS
게팗니;다,POS,Medium,Argument,POS
게;풀어지,POS,High,Judgment,POS
게;하여,NEG,Medium,Argument,POS
게;한,NEG,High,Argument,POS
게;하는,POS,High,Judgment,POS
게;할,NEUT,Medium,Judgment,NEUT
게;하아,POS,Medium,Argument,POS
게;행복,POS,High,Judgment,POS
게;든,NONE,None,Others,POS
게양;률,NEG,Medium,Argument,POS
게을리;하시,NEG,Medium,Argument,POS
게임;의,POS,Medium,Judgment,POS
겠네;요,NEG,Low,Argument,POS
겠느;냐,NONE,None,Judgment,POS
겠느;냐고,NEUT,Medium,Argument,POS
겠다;고,NEG,Low,Argument,POS
겠다;는,POS,Medium,Argument,POS
겠;습니까,POS,Medium,Intention,POS
겠지;요,NEG,Medium,Argument,POS
겨울;에,POS,Medium,Argument,POS
겨울;에는,POS,Medium,Argument,POS
격;을,POS,Medium,Judgment,POS
격을높;이,POS,Medium,Judgment,POS
격려;하,POS,Medium,Argument,POS
격차;해소,POS,Low,Argument,POS
겪는;경우,NEG,Medium,Judgment,NEG
견디어;오,POS,High,Judgment,POS
견디어;라,POS,Medium,Intention,POS
견해;를,COMP,Medium,Judgment,POS
결국;죽,NEG,Medium,Judgment,NEG
결국;죽게,NEG,Medium,Judgment,NEG
결단;을,NEG,High,Judgment,NEG
결론;을,POS,Medium,Argument,POS
결속;하,POS,Medium,Judgment,POS
결심;을,NEG,Medium,Argument,POS
결;심하,POS,Medium,Intention,POS
결여;되,NEG,Medium,Judgment,NEG
결여;의,NEG,Low,Argument,POS
결의;하,POS,High,Agreement,POS
결정;을,NEG,Medium,Judgment,NEG
결정;적,COMP,Medium,Judgment,POS
결코;쓰러지,POS,High,Intention,POS
결함;이,NEG,Medium,Judgment,NEG
결혼;도,NEG,High,Argument,POS
결혼;에,POS,Medium,Judgment,POS
결혼;을,NEG,Medium,Argument,POS
결혼;전,NEUT,Low,Argument,POS
결혼식;에,POS,Medium,Argument,POS
경;각심,NEG,High,Judgment,NEG
경;고하,NEG,High,Argument,POS
경보;도,POS,Medium,Judgment,POS
경우;가,NEG,Medium,Judgment,NEG
경우;뇌,NEUT,Medium,Argument,POS
경우;뇌신경,NEUT,Medium,Argument,POS
경쟁;심리,NEG,Medium,Emotion,COMP
경쟁;이,POS,Medium,Judgment,POS
경제;적,NEG,Medium,Emotion,NEG
경제;제재,POS,Medium,Argument,POS
경제력;이,POS,Medium,Judgment,POS
경주;탐방,POS,Medium,Judgment,POS
경지;의,NEG,Medium,Argument,POS
경직;성,POS,Medium,Judgment,POS
경직;성과,POS,Medium,Judgment,POS
경향;을,POS,Medium,Judgment,POS
경향;이,NEG,Medium,Speculation,POS
경험;을,POS,Medium,Judgment,POS
경험;이,POS,Low,Argument,POS
곁;으로,POS,Medium,Judgment,POS
곁;을,POS,Medium,Argument,POS
계;가,POS,Medium,Argument,POS
계;에서,POS,Medium,Judgment,POS
계;에서는,POS,Medium,Judgment,POS
계;최대,POS,Medium,Judgment,POS
계기;가,POS,Medium,Judgment,POS
계기;로,POS,Medium,Argument,POS
계속;정체,NEG,High,Judgment,NEG
계속;하,COMP,Low,Argument,POS
계속;하겠,NEUT,Low,Argument,POS
계통;의,NEUT,Medium,Argument,POS
계획;을,POS,Medium,Intention,POS
계획;이,POS,Medium,Intention,POS
계획;하,POS,Medium,Intention,POS
고견;디,POS,High,Judgment,POS
고견;디어,POS,High,Judgment,POS
고;걷,NEG,Medium,Judgment,NEG
고;걷어,NEG,Medium,Judgment,NEG
고;공연,NEG,Medium,Judgment,NEG
고귀;가,NEUT,Medium,Argument,POS
고;그동안,POS,Medium,Argument,POS
고;나,POS,Medium,Argument,POS
고;나가지,POS,Medium,Intention,POS
고;나서기,POS,Medium,Intention,POS
고;나중,POS,Medium,Argument,POS
고다;가가,POS,Medium,Argument,POS
고;들어가,POS,Medium,Argument,POS
고;들어가는,POS,Medium,Argument,POS
고;또는,POS,Medium,Judgment,POS
고;말,NEUT,Medium,Argument,POS
고;맛있,POS,Medium,Argument,POS
고;먹,NEG,Medium,Argument,POS
고;먹고,NEG,Medium,Argument,POS
고;면허,POS,Low,Argument,POS
고;몸살,POS,Medium,Argument,POS
고;물속,NEG,Medium,Judgment,NEG
고;믿,NEG,Low,Judgment,NEG
고;번들번들,NEG,Medium,Argument,POS
고살;았,NEG,Low,Judgment,NEG
고손;으로,NEG,Medium,Argument,POS
고수;미산,POS,High,Judgment,POS
고;싶,POS,Medium,Intention,POS
고싸움;을,NEG,Medium,Judgment,NEG
고;쓸쓸,POS,Medium,Judgment,POS
고;쓸쓸하,POS,Medium,Judgment,POS
고;약혼,NEG,High,Emotion,NEG
고양;심,NEG,Medium,Argument,POS
고양;심의,NEG,Medium,Argument,POS
고;얼마나,NEG,High,Judgment,NEG
고;역사,POS,Low,Argument,POS
고역;사의,POS,Low,Argument,POS
고;예술,POS,Medium,Judgment,POS
고;외롭,POS,Medium,Argument,POS
고;욕망,NEG,Low,Argument,POS
고용;서,NEG,Medium,Argument,POS
고용;서하,NEG,Medium,Argument,POS
고이;지구,NEG,Medium,Argument,POS
고;익숙,POS,Medium,Judgment,POS
고;익숙하,POS,Medium,Judgment,POS
고;있,NEG,Medium,Argument,POS
고자;는,NEG,Medium,Judgment,NEG
고자;라,NEUT,Low,Argument,POS
고정;들,NEG,Medium,Argument,POS
고;존재,POS,Medium,Argument,POS
고;좋,POS,Low,Argument,POS
고;즐기,POS,Medium,Judgment,POS
고;최고,NEG,Medium,Judgment,NEG
고토;하,NEUT,Medium,Argument,POS
고토;하고,NEUT,Medium,Argument,POS
고하;는,POS,Medium,Argument,POS
고;해외,POS,Medium,Argument,POS
고;화장실,NEUT,Medium,Argument,POS
고;휴식,NEG,Medium,Argument,POS
고;강조,POS,High,Argument,POS
고;다짐,POS,High,Intention,POS
고;답변,POS,Medium,Argument,POS
고;밝히,NEG,Medium,Argument,POS
고정;의,NEUT,Medium,Argument,POS
고;주장,NEG,Medium,Argument,POS
고지;적,NEG,Medium,Argument,POS
고지;적하,NEG,Medium,Argument,POS
고통;첩,NEG,Medium,Argument,POS
고;평가,NEG,Medium,Judgment,NEG
고;호소,POS,High,Argument,POS
고호;소하,POS,High,Argument,POS
고;품질,POS,Medium,Judgment,POS
고갈;상태,NEG,Medium,Judgment,NEG
고개;를,NEUT,Medium,Agreement,POS
고객;들,POS,Medium,Argument,POS
고구려;벽화,POS,Medium,Judgment,POS
고급;화,NEG,Medium,Judgment,NEG
고기;와,NEUT,Medium,Argument,POS
고;대하,POS,High,Judgment,POS
고도;를,COMP,Medium,Argument,POS
고;독하,NEG,Medium,Judgment,NEG
고;되,NEG,High,Judgment,NEG
고;루하,POS,Medium,Judgment,POS
고루;한,POS,Medium,Judgment,POS
고르;지,NEG,Medium,Judgment,NEG
고리타;분,NEG,Medium,Argument,POS
고립;되,NEG,Medium,Argument,POS
고립;되어,NEG,Medium,Argument,POS
고립무원;속,NEG,Medium,Judgment,NEG
고마움;깨닫,POS,Medium,Emotion,POS
고마움;을,POS,Medium,Emotion,POS
고무밴드;가,NEG,Medium,Judgment,NEG
고무;적,POS,High,Judgment,POS
고민;에,POS,Medium,Judgment,POS
고;민하,NEG,Medium,Emotion,NEG
고발;건수,NEG,High,Argument,POS
고백;하,NONE,None,Others,POS
고비;를,POS,Medium,Argument,POS
고삐;가,NEG,Medium,Judgment,NEG
고;심하,NEG,Low,Emotion,NEG
고액;과외,POS,Low,Judgment,POS
고양시;키,POS,High,Judgment,POS
고유;건축,POS,Medium,Judgment,POS
고;자하,NONE,None,Intention,POS
고장;나,NEG,Medium,Judgment,NEG
고조;되,NEUT,Medium,Judgment,NEUT
고질;적,NEG,Medium,Judgment,NEG
고질;화,NEG,High,Judgment,NEG
고;질병,NEG,Medium,Judgment,NEG
고충;을,POS,Medium,Judgment,POS
고층;아파트,NEG,Medium,Judgment,NEG
고치는;등,NEUT,Low,Argument,POS
고통;을,NEG,Medium,Judgment,NEG
고통;이,NEG,Medium,Judgment,NEG
고향;으로,POS,Medium,Judgment,POS
곡;이,NEG,Medium,Argument,POS
곤란하거;나,NEUT,Medium,Argument,POS
곤란하;아,NEG,Medium,Judgment,NEG
곤혹;스럽,NEG,Medium,Judgment,NEG
곧;파멸,NEG,Medium,Argument,POS
골;이,NEG,Medium,Argument,POS
골고루;녹,POS,Medium,Judgment,POS
골고루;녹아,POS,Medium,Judgment,POS
골절;되,POS,Low,Argument,POS
골절;된,POS,Low,Argument,POS
골치;아프,NEG,Medium,Judgment,NEG
곳;에,POS,High,Emotion,POS
곳;에서,POS,Medium,Judgment,POS
곳;에서도,POS,Medium,Judgment,POS
곳;을,NEUT,Medium,Judgment,POS
곳;이,NEG,Medium,Argument,POS
곳;이크,NEG,Medium,Argument,POS
공간;에서,POS,Low,Judgment,POS
공간;에서의,POS,Low,Judgment,POS
공간;이,POS,Medium,Judgment,POS
공감;과,POS,Medium,Judgment,POS
공감;대,POS,Medium,Argument,POS
공;급하,POS,Low,Judgment,POS
공기;가,POS,Medium,Argument,POS
공멸한다;는,POS,Medium,Argument,POS
공백;을,POS,Medium,Judgment,POS
공백;이,NEG,Low,Judgment,NEG
공부;를,NEG,Low,Argument,POS
공부;싫,NEG,Medium,Argument,POS
공부;싫은,NEG,Medium,Argument,POS
공;부하,POS,Medium,Judgment,POS
공부;하는,POS,Medium,Judgment,POS
공산;은,NEG,High,Speculation,POS
공식;입장,NEG,High,Argument,POS
공식;협의,NEG,Medium,Judgment,NEG
공연;물,POS,Medium,Judgment,POS
공;연하,NEG,Medium,Argument,POS
공연;한,NEG,Medium,Argument,POS
공;유하,POS,Medium,Judgment,POS
공장;공장장,NEG,Medium,Argument,POS
공장장;님,NEG,Medium,Argument,POS
공존;의,POS,Medium,Argument,POS
공짜;로,POS,Medium,Judgment,POS
공포;로부터,NEG,Medium,Argument,POS
공포;와,POS,Medium,Argument,POS
과;공식,NEG,Medium,Judgment,NEG
과;영화,POS,Medium,Argument,POS
과;결혼,POS,Medium,Judgment,POS
과;경험,POS,Medium,Judgment,POS
과;고통,NEG,Medium,Judgment,NEG
과;나비,NEUT,Low,Argument,POS
과;마음,POS,Medium,Judgment,POS
과;미국,POS,Medium,Judgment,POS
과;반복,NEG,High,Argument,POS
과반;복은,NEG,High,Argument,POS
과색;을,POS,Medium,Judgment,POS
과;생물,NEG,Medium,Argument,POS
과;알코올,NEG,Medium,Judgment,NEG
과;알코올중독,NEG,Medium,Judgment,NEG
과;약간,COMP,Low,Emotion,COMP
과;예술,POS,Medium,Judgment,POS
과;유치원,POS,Medium,Judgment,POS
과일;반,NEG,Low,Judgment,NEG
과일;반적,NEG,Low,Judgment,NEG
과죄;의식,NEG,Medium,Judgment,NEG
과;지방,NEG,Medium,Judgment,NEG
과;축소,POS,High,Judgment,POS
과;카메라,POS,Medium,Argument,POS
과;통찰,POS,Medium,Judgment,POS
과;폭행,NEG,Medium,Judgment,NEG
과;하늘,NEG,Medium,Judgment,NEG
과;한과,POS,Medium,Argument,POS
과;같,NEUT,High,Judgment,POS
과;같다,NEG,Medium,Argument,POS
과;관계,NEUT,Medium,Argument,POS
과;달리,POS,Medium,Judgment,POS
과;대비,POS,Medium,Judgment,POS
과;마찬가지,NEG,Medium,Judgment,NEG
과;모순,NEG,Medium,Argument,POS
과생필품;을,POS,Low,Judgment,POS
과;전통,POS,Low,Argument,POS
과;전통문화,POS,Low,Argument,POS
과;함께,POS,Medium,Judgment,POS
과감;하게,POS,Medium,Judgment,POS
과거;는,POS,Medium,Argument,POS
과거;로,POS,Medium,Argument,POS
과거;의,NEG,Low,Judgment,NEG
과;다,NEG,Medium,Judgment,NEG
과대;포장,NEG,Medium,Judgment,NEG
과;도하,NEG,Medium,Judgment,NEG
과반수;의,NEG,Medium,Judgment,NEG
